Powerhouse/Unit:,LO-84,LO-91,LO-93,LO-39,LO-21,LO-64,LO-28,LO-44,LO-72,LO-59,LO-71,ZR-71,QW-97,TT-67,JC-43,LI-67,TT-63,QW-82,QW-13,QW-10,JC-52,QW-56,HJ-30,QW-91,HJ-80,QW-94,QW-15,QW-76,QW-05,JC-99,QW-92,QW-54
Field Name:,HT_GB_SH_NA_NA_NA_90_VM_HO-4vrkf,HT_GB_SH_NA_NA_NA_90_VM_HO-5mJuR,HT_GB_SH_NA_NA_NA_90_VM_HO-5sR7R,HT_GB_SH_NA_NA_NA_90_VM_HO-AoYd5,HT_GB_SH_NA_NA_NA_90_VM_HO-D8sJi,HT_GB_SH_NA_NA_NA_90_VM_HO-HIIAW,HT_GB_SH_NA_NA_NA_90_VM_HO-k2QXo,HT_GB_SH_NA_NA_NA_90_VM_HO-ksXGv,HT_GB_SH_NA_NA_NA_90_VM_HO-nOtnK,HT_GB_SH_NA_NA_NA_90_VM_HO-tycIY,HT_GB_SH_NA_NA_NA_90_VM_HO-yhjXd,HT_GB_SH_NA_NA_NA_DNA_VM_AX-alU4A,HT_GB_SH_NA_NA_NA_DNA_VM_HO-47caF,HT_GB_SH_NA_NA_NA_DNA_VM_HO-7nvE0,HT_GB_SH_NA_NA_NA_DNA_VM_HO-7xJRW,HT_GB_SH_NA_NA_NA_DNA_VM_HO-93Oix,HT_GB_SH_NA_NA_NA_DNA_VM_HO-AB4Kn,HT_GB_SH_NA_NA_NA_DNA_VM_HO-aD3l6,HT_GB_SH_NA_NA_NA_DNA_VM_HO-awezq,HT_GB_SH_NA_NA_NA_DNA_VM_HO-DuTvZ,HT_GB_SH_NA_NA_NA_DNA_VM_HO-DzxzI,HT_GB_SH_NA_NA_NA_DNA_VM_HO-HvcMW,HT_GB_SH_NA_NA_NA_DNA_VM_HO-iPtaz,HT_GB_SH_NA_NA_NA_DNA_VM_HO-jT2bm,HT_GB_SH_NA_NA_NA_DNA_VM_HO-nqPzD,HT_GB_SH_NA_NA_NA_DNA_VM_HO-QOolI,HT_GB_SH_NA_NA_NA_DNA_VM_HO-qVZ6H,HT_GB_SH_NA_NA_NA_DNA_VM_HO-rDM3R,HT_GB_SH_NA_NA_NA_DNA_VM_HO-rnKdB,HT_GB_SH_NA_NA_NA_DNA_VM_HO-Xq8AD,HT_GB_SH_NA_NA_NA_DNA_VM_HO-XRCzY,HT_GB_SH_NA_NA_NA_DNA_VM_HO-ZCyNY
2022-09-27 00:00:00+00:00,0,0,0,3.409176587,0,0,0,0,2.682478685,3.318858731,0,-0.049833333,0,0.208379833,8.503153232,0.027498146,7.7,1.110744451,2.123000557,3.596973811,4.831117289,1.9821862,4.199926138,2.49659784,0,0.160721442,1.977254217,2.744764797,3.227485638,7.511188809,2.098443778,0.031829158
2022-09-28 00:00:00+00:00,0,0,0,4.286688536,0,0,0,0,2.613968299,3.266768809,0,-0.04775,0,0.208380292,8.587979348,0.027011838,7.470093458,0.874205397,3.065518932,3.161569615,3.634265833,2.342683642,4.25770779,2.767414202,0,1.342699657,2.763457286,2.958397091,3.235179201,7.620547291,1.859630902,0.027319437
2022-09-29 00:00:00+00:00,0,0,0,3.600190235,0,0,0,0,0.044444445,2.941777825,0,-0.045916667,0,0.205177042,8.817331917,0.026703367,7.396928328,0.636967686,4.006355003,2.974890312,3.702079886,2.934049441,4.311625268,2.694587385,0,1.372159,3.530446762,3.108296341,1.019854813,7.952002764,1.967825724,0.025171103
2022-09-30 00:00:00+00:00,0,0,0,3.219922725,0,0,0,0,2.807085882,3.733333387,0,-0.045,0,0.196456292,8.686923932,0.026418304,7.391489362,0.97089309,3.494370403,2.655460431,3.8705986,3.006193135,4.243820828,2.823578263,0,1.248128831,3.910758638,3.09917668,3.418886231,7.51700451,2.164528576,1.940597047
2022-10-01 00:00:00+00:00,0,0,0,3.488201978,0,0,0,0,0.050000001,3.51922194,0,-0.045,0,0.200736208,8.613329021,0.026542508,7.356226415,1.138514702,1.988997471,1.625145743,3.807568478,2.532831697,4.264467923,0.899624442,0,1.817455396,3.452478565,2.462058787,1.591025178,7.761502032,1.672821892,0.085933624
2022-10-02 00:00:00+00:00,0,0,0,4.024979314,0,0,0,0,2.843243292,3.655111017,0,-0.045,0,0.2013295,8.686779436,0.02624245,7.412244898,0.832321486,2.972172239,1.775538246,3.754265635,2.070654445,4.306137845,1.408820695,0,1.306805987,2.874262764,2.471616682,2.390523901,7.977553611,1.86084696,1.556783577
2022-10-03 00:00:00+00:00,0,0,0,3.391765684,0,0,0,0,2.790532599,3.561841781,0,-0.045,0,0.201286375,8.483841961,0.026472221,7.716887417,1.758815184,3.662656995,3.229138213,3.74388885,1.998993841,4.285029832,2.534400978,0,0.821603512,3.449969879,2.820617933,1.041774772,7.862348762,2.23364862,1.018242299
2022-10-04 00:00:00+00:00,0,0,0,3.866907103,0,0,0,0,2.692396523,4.106637317,0,-0.044583333,0,0.204720667,8.270976809,0.027373908,7.835082873,0.923811712,4.694308224,3.321178841,0.115401586,3.383069039,4.363732361,2.95099757,0,0.050738752,2.701856018,3.405624977,3.821164611,0.035604385,1.920276896,0.105360774
2022-10-05 00:00:00+00:00,0,0,0,3.626197529,0,0,0,0,2.724318707,3.313332611,0,-0.043083333,0,0.2069502,8.567113253,0.026794992,7.6346875,0.042692474,4.121613151,2.920583995,0.145049572,2.557911772,4.38822714,0.078272128,0,1.96091936,3.004940037,2.981153713,3.032058234,0.038783348,1.512247746,2.120338016
2022-10-06 00:00:00+00:00,0,0,0,3.586576831,0,0,0,0,2.696323099,3.784617807,0,-0.041375,0,0.206710333,8.122909892,0.027480967,7.769736842,0.036144394,3.882255019,2.700273796,0.107222875,2.092013376,4.411575787,0.029818196,0,1.874552995,3.373453433,2.952473559,2.422474245,0.056585539,0.039616183,1.314862615
