The use of this data is subject to the terms and conditions of agreement with the HRI and cannot be shared with non-HRI customers without prior written permission.
HT_Vibration_Daily (2000/01/01 12:00:00 AM UTC+0000 - 2023/07/29 11:59:59 PM UTC+0000)
Request No.,1402
Shijia Zhao,Department of Energy
Requested:,2023/07/29 08:22:07 PM UTC+0000
Columns:,6,Averaging Period:,1 Day(s),Interpolation:,None,Out of Range Data Excluded:,False

Unit:,Mils,Mils,Mils,Mils,Mils,Mils
Site:,90716,90716,95152,95152,90716,90716
Powerhouse/Unit:,KI-45,KI-99,PW-68,PW-68,KI-99,KI-45
Generator Profiles:,,,,,,
Governor Profiles:,,,,,,
Hydraulic Turbine Profiles:,HT6617,HT5705,HT9409 (1997/01/01:2015/02/10) HT2532 (2020/01/23:present),HT9409 (1997/01/01:2015/02/10) HT2532 (2020/01/23:present),HT5705,HT6617
Tag Name:,,,,,,
Field Name:,HT_NA_NA_NA_NA_NA_DNA_VM_HO-185Vh,HT_NA_NA_NA_NA_NA_DNA_VM_HO-4o9bX,HT_NA_NA_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_NA_NA_DNA_VM_HO-BjARE,HT_NA_NA_NA_NA_NA_DNA_VM_HO-c2rB2,HT_NA_NA_NA_NA_NA_DNA_VM_HO-IAZ32
2011-06-26 00:00:00+00:00,7.647368405994616,7.928470589132871,6.230917078007196,8.907070772714883,9.177638705989247,12.50363494994008
2011-06-27 00:00:00+00:00,7.7192771204982895,7.0452611229636455,5.727430911135902,8.859277891168007,9.541953079569097,12.582210549806291
2011-06-28 00:00:00+00:00,7.555999946594239,7.160843375217484,6.4377612735801195,8.866413174197529,11.481520980490634,12.374140767916833
2011-06-29 00:00:00+00:00,7.450000047683715,7.505159699067437,5.3963484776500605,8.659034416149618,11.248898169339732,12.249655182060154
2011-06-30 00:00:00+00:00,7.408333420753478,7.52228260644968,5.340263988638158,8.777880535851564,9.49277420310564,12.150851139109182
2011-07-01 00:00:00+00:00,7.393548457853255,6.293785316641609,5.011442323485385,8.852268870624732,8.197507423693066,12.278378294867446
2011-07-02 00:00:00+00:00,7.272177438582143,0.05153846221092414,NA,NA,0.0695568410848376,11.998450847172704
2011-07-03 00:00:00+00:00,7.263253002281648,0.05203252110054816,NA,NA,0.16197183360935918,11.836866418965318
2011-07-04 00:00:00+00:00,7.25882352737182,0.050307287843578984,NA,NA,0.13592233212248775,11.774883742221565
2011-07-05 00:00:00+00:00,7.252197814075065,0.06412213836007438,7.464962807084833,9.172423516938446,0.21267454924760124,11.856199493289358
2011-07-06 00:00:00+00:00,7.246006942457623,0.1440607756273356,6.513832929391893,9.669955606555156,0.243991860319422,11.810793526670615
2011-07-07 00:00:00+00:00,7.246361183670332,0.14835309838981633,6.03597344744522,9.413180643397926,0.26047820781269815,11.55638047474259
2011-07-08 00:00:00+00:00,12.788983681223966,0.14671533065338185,6.485766256828301,9.673143163698304,0.3298077007325795,18.444827567885074
2011-07-09 00:00:00+00:00,13.68902693772168,0.1410423473785675,6.292568151306057,9.557488301578623,0.25237288893447746,16.20507009660323
2011-07-10 00:00:00+00:00,12.757142868434757,0.05007752012605808,6.505258815243311,9.635475905119629,0.12996862147580115,15.070081797027916
2011-07-11 00:00:00+00:00,15.657387769270917,0.047252747956868,6.643558280720189,9.438537832723727,0.12595281613392312,20.89559914021578
2011-07-12 00:00:00+00:00,7.236134438955483,0.05783664545344457,6.065288725607336,9.540986959899456,0.17713373256077874,11.735901753757728
