GN_GB_ND_SH_DNA_VM_HO-1hbtR,GN_GB_ND_SH_DNA_VM_HO-34IaB,GN_GB_ND_SH_DNA_VM_HO-7IkeA,GN_GB_ND_SH_DNA_VM_HO-9W9pq,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,GN_GB_ND_SH_DNA_VM_HO-eAB8c,GN_GB_ND_SH_DNA_VM_HO-EAskK,GN_GB_ND_SH_DNA_VM_HO-eY9y0,GN_GB_ND_SH_DNA_VM_HO-fl8X9,GN_GB_ND_SH_DNA_VM_HO-idzZd,GN_GB_ND_SH_DNA_VM_HO-ieC5u,GN_GB_ND_SH_DNA_VM_HO-IMqGo,GN_GB_ND_SH_DNA_VM_HO-j6Sse,GN_GB_ND_SH_DNA_VM_HO-LOXXL,GN_GB_ND_SH_DNA_VM_HO-OnqTn,GN_GB_ND_SH_DNA_VM_HO-qRVHP,GN_GB_ND_SH_DNA_VM_HO-RMRJ9,GN_GB_ND_SH_DNA_VM_HO-xAeWp,GN_GB_ND_SH_DNA_VM_HO-XnieG,GN_GB_ND_SH_DNA_VM_HO-ybTm8,GN_GB_ND_SH_DNA_VM_VE-2VJKp,GN_GB_ND_SH_DNA_VM_VE-32QOv,GN_GB_ND_SH_DNA_VM_VE-76HfD,GN_GB_ND_SH_DNA_VM_VE-DI4Wa,GN_GB_ND_SH_DNA_VM_VE-fn2xX,GN_GB_ND_SH_DNA_VM_VE-htsBX,GN_GB_ND_SH_DNA_VM_VE-kxcsh,GN_GB_ND_SH_DNA_VM_VE-lHB6Q,GN_GB_ND_SH_DNA_VM_VE-LrC1E,GN_GB_ND_SH_DNA_VM_VE-SrDKP,GN_GB_ND_SH_DNA_VM_VE-tVcYY,GN_GB_ND_SH_DNA_VM_VE-u5yO7,GN_GB_ND_SH_DNA_VM_VE-U7ecJ
2.206810217,1.975282633,10.93414102,,4.865178571,6.038339921,4.852366124,9.252685617,4.768632966,2.131227766,,4.309361617,6.070326783,2.5,4.14518053,6.64670139,1.790919113,7.350567583,1.67357034,,7.447827431,6.14005159,13.64499695,3.3260011,5.6132344,,1.82661449,2.542536,4.866938782,,4.008836288,10.880847,1.763333333,1.65807422
1.56838331,1.887229517,2.005605021,,7.369354839,6.886018237,5.580994931,7.274991733,3.83704971,2.440655503,,6.310149417,11.33100045,2.891730769,3.68596748,7.092261544,1.498114904,5.85893535,1.943151603,,10.09084257,1.900986737,10.83746935,1.011833468,4.195561133,,1.870081972,3.051064603,4.982002586,,6.1855855,1.642521944,1.782352941,1.890714774
1.688079604,2.208378667,1.422900073,,4.4692,5.562151394,7.076234268,7.433429283,5.444038567,2.156240623,,4.320947083,7.544325763,1.350769231,3.543248465,7.287186825,1.519397736,2.964284604,1.755602216,,1.72568939,1.573326552,11.99736867,3.27499985,2.224701133,,2.220136724,3.3210029,6.268153228,,4.256325767,1.495453354,1.55,2.183849244
3.374065267,2.146192183,1.649482655,,7.36749226,6.277313433,5.898768167,5.690553172,1.364217303,2.083370097,,4.444249814,5.2996619,20.0,3.922040674,2.926325285,1.523542404,3.27197638,1.576429815,,1.475478993,1.784296593,8.067446086,3.375400933,2.843075248,,2.787568867,2.692906335,5.08606475,,4.166006878,3.787219053,1.672857143,2.266242169
1.573920407,1.969594417,1.585528582,,5.012030075,4.727777778,7.68278065,6.14215375,6.114645667,2.392164358,,2.581461826,6.607017239,20.0,4.149827091,6.205554528,9.09757009,6.129962933,1.726037511,,3.078238783,1.838181339,7.884505657,4.263107967,5.300737119,,2.689608683,1.209057005,7.522972383,,2.547810011,5.272808633,1.777142857,1.914836603
1.688904067,1.349241933,3.695016828,,7.070532915,6.162804878,7.02213315,5.8989581,5.051556737,2.614488621,,5.653123633,6.75160435,20.0,4.352926865,6.752215283,12.00367807,5.993680883,1.847049189,,4.71486885,2.839946136,5.424186467,3.8999007,4.578641667,,1.971308834,2.035543647,6.405312817,,5.06917565,1.616720267,1.74,1.31055425
1.375588086,5.977069265,2.831025167,,4.46227758,4.827915194,8.903292069,6.504421133,4.711849087,2.131354993,,5.988554267,6.957942359,20.0,4.378199024,8.244787733,12.6845182,5.194604842,1.749131797,,1.652718475,2.48956781,5.849412833,1.818254301,3.813383525,,2.343108977,4.136264433,8.186508914,,5.64982055,5.435073873,1.708345324,1.303349796
3.625172533,,2.511242217,,4.581632653,4.847194719,12.40388067,6.044215367,5.923142334,2.049456677,,8.682454583,2.446712055,20.0,5.985237706,7.384305967,11.04696081,5.4052424,1.740108469,,5.179143267,2.281099483,5.450736483,2.098337076,3.329794625,,3.669587139,1.333626188,10.41708737,,9.547085,2.620706862,1.83,4.773709233
4.038690764,,1.500865625,,6.90192926,6.483035714,10.9690085,4.743438786,4.933517517,2.330989715,,7.748513755,5.969241685,20.0,8.936808072,9.1577092,7.554203643,4.37327247,2.114826075,,2.545315633,1.431683837,4.108502251,3.860685817,3.264373463,,2.792929804,2.468810883,9.604112633,,8.940539849,2.50879965,1.858,5.257584517
2.882443376,,3.854777003,,6.619365079,5.781388013,9.804198517,4.489696839,1.87881231,2.216840295,,2.803353033,8.75800805,1.335,12.37916271,9.5322844,14.57048006,3.892648,1.982075154,,2.796752617,2.694266157,4.640685835,2.106824918,2.413693432,,3.695863422,2.12671609,8.62212415,,2.861569467,1.654732345,1.616923077,2.088845689
3.527226033,,8.20979215,,6.321543408,5.474774775,5.153735972,5.602698629,1.901758408,2.222948033,,3.890113,2.203845641,2.1375,11.64446579,8.066741091,15.67727385,2.804686776,1.994650923,,1.70804158,4.63704145,5.723350161,3.421108686,1.431693049,,3.835351745,1.854314824,4.4745206,,3.6070791,1.157107528,1.520454545,2.5383567
1.36420134,,6.928225817,,7.199378882,7.173590504,6.854917975,8.148920718,1.782587282,2.474864779,,2.206092298,4.2977441,1.951538462,8.899667619,9.407483467,19.45691846,11.00358255,2.328464448,,1.25688118,4.300527797,9.036885051,,8.818026417,,3.737197946,1.666511447,5.920450747,,3.473711757,2.248977804,1.973333333,1.04669535
1.555266491,,2.734908683,,7.240062112,7.040243902,6.828660925,2.119896135,1.303496017,2.405661287,,4.254758962,3.902619814,2.222,7.617076142,9.35596025,14.0850269,11.66855637,2.207331044,,2.561346321,2.1230898,4.227177996,,9.282332733,,5.778725117,1.212281952,6.535259506,,4.026986457,1.166157007,1.923448276,1.207625679
1.607105545,,3.825370467,,7.513580247,7.138416422,5.183894342,3.431523172,9.1342204,2.239194982,,6.76174705,3.454169757,1.964615385,12.97191749,9.509300134,13.21446677,7.85759225,2.078344483,,1.559149443,2.686704544,3.103648394,,7.07672195,,4.170775033,5.2144788,4.865187763,,6.601868033,1.973557,1.709245283,1.861641069
2.087101679,,2.003387067,,6.856610169,6.720063694,6.521307854,8.304116717,2.06897215,2.735028952,,7.0279149,1.921808336,1.486363636,14.09247898,8.734891115,19.63025103,4.869956421,2.327341254,,2.117013567,1.585572649,9.052028633,,4.603441205,,2.296161239,2.14608995,6.37434194,,10.60303797,2.191014943,1.887368421,2.09020413
