GN_GB_ND_SH_DNA_VM_HO-1hbtR,GN_GB_ND_SH_DNA_VM_HO-34IaB,GN_GB_ND_SH_DNA_VM_HO-7IkeA,GN_GB_ND_SH_DNA_VM_HO-9W9pq,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,GN_GB_ND_SH_DNA_VM_HO-eAB8c,GN_GB_ND_SH_DNA_VM_HO-EAskK,GN_GB_ND_SH_DNA_VM_HO-eY9y0,GN_GB_ND_SH_DNA_VM_HO-fl8X9,GN_GB_ND_SH_DNA_VM_HO-idzZd,GN_GB_ND_SH_DNA_VM_HO-ieC5u,GN_GB_ND_SH_DNA_VM_HO-IMqGo,GN_GB_ND_SH_DNA_VM_HO-j6Sse,GN_GB_ND_SH_DNA_VM_HO-LOXXL,GN_GB_ND_SH_DNA_VM_HO-OnqTn,GN_GB_ND_SH_DNA_VM_HO-qRVHP,GN_GB_ND_SH_DNA_VM_HO-RMRJ9,GN_GB_ND_SH_DNA_VM_HO-xAeWp,GN_GB_ND_SH_DNA_VM_HO-XnieG,GN_GB_ND_SH_DNA_VM_HO-ybTm8,GN_GB_ND_SH_DNA_VM_VE-2VJKp,GN_GB_ND_SH_DNA_VM_VE-32QOv,GN_GB_ND_SH_DNA_VM_VE-76HfD,GN_GB_ND_SH_DNA_VM_VE-DI4Wa,GN_GB_ND_SH_DNA_VM_VE-fn2xX,GN_GB_ND_SH_DNA_VM_VE-htsBX,GN_GB_ND_SH_DNA_VM_VE-kxcsh,GN_GB_ND_SH_DNA_VM_VE-lHB6Q,GN_GB_ND_SH_DNA_VM_VE-LrC1E,GN_GB_ND_SH_DNA_VM_VE-SrDKP,GN_GB_ND_SH_DNA_VM_VE-tVcYY,GN_GB_ND_SH_DNA_VM_VE-u5yO7,GN_GB_ND_SH_DNA_VM_VE-U7ecJ
3.054186033,1.937765908,1.917177267,,4.749803922,6.092553191,4.945465034,7.771116858,6.832584567,2.352122699,,1.477811232,1.421001855,2.5,4.757062331,4.981643709,2.097090046,7.180068414,2.199731002,,4.457287579,1.773252776,8.544081161,3.635365633,5.334125476,,2.452826889,1.812775448,3.11923981,,5.364415811,5.485179085,20.0,5.443120183
1.259019571,2.137470142,8.098999417,,4.770247934,6.230232558,4.701392067,8.585060521,5.196437083,2.338096117,,2.722343792,1.637114961,2.5,4.715711677,7.713720933,2.1448723,7.503011967,2.189468708,,5.033408267,4.920473271,9.439891546,4.789163328,7.234641583,,1.960419429,1.962448629,3.511619857,,2.027885734,1.38364281,20.0,1.162629698
2.005775596,2.438895183,1.886666324,,4.674683544,5.975285171,6.858945967,1.29869775,5.869729741,2.348993472,,3.079224433,1.853228067,2.5,4.837649086,7.267228467,1.966662808,6.611112583,2.186066663,,1.077254348,2.078609293,1.403046921,1.014754211,6.55236915,,1.986789944,5.8589591,3.402219293,,1.33778094,3.485259752,20.0,3.511279327
3.76353695,1.930640734,1.855410572,,4.968776371,5.850200803,8.846248502,3.046535215,6.351139667,2.33478594,,3.249780393,2.069341174,2.5,4.920148546,9.965420017,2.067686032,5.610204928,2.183456287,,1.686242267,1.546197244,4.071595747,1.298138189,7.529353467,,1.851434848,3.858612622,5.420812183,,2.477533253,1.911833804,20.0,3.6267785
2.268426832,1.717272576,8.096282792,,4.627807487,5.897131148,8.460599595,6.527130229,3.469969985,2.39152424,,2.084275281,2.28545428,2.5,4.701261512,10.02839943,2.120742957,7.898055508,2.237613881,,4.020378885,5.123631396,10.56848686,1.581522167,4.304364741,,2.684980288,3.041936881,6.410145362,,2.713913167,7.542520467,20.0,2.554170005
2.969219067,2.042361483,4.744961707,,4.550406504,5.987124464,8.074950688,3.478776666,7.33754515,2.397946886,,4.059318883,3.775075638,2.5,4.67164133,10.14330395,2.194073508,7.995988983,2.233983757,,1.862808483,3.194496621,4.033307879,1.864906145,6.0681987,,1.92452716,2.671629267,6.569458835,,3.55332001,3.748619143,20.0,2.536510303
6.189052723,2.0720544,6.562849459,,4.608284024,6.205639098,7.689301781,5.1687623,6.724041123,2.392246787,,1.603267201,10.54484068,2.5,4.794319146,8.2461987,2.237378298,8.656264933,2.232841841,,6.92928025,4.355148239,4.845043683,2.148290124,5.965846433,,2.218127745,3.93346815,6.728772307,,1.622515273,1.570671326,20.0,4.630563068
3.103524651,2.616297915,6.174173384,,4.57591623,6.25,7.303652875,5.824451242,6.313636833,2.368871265,,6.1857182,6.897878732,2.5,5.170346371,5.478265864,2.06245527,6.375834052,2.203041874,,3.661990333,4.28881393,8.430951405,2.431674102,8.103573067,,2.354955161,2.090533039,6.88808578,,3.784594117,9.234346767,20.0,4.98269769
2.468885305,2.031647333,5.785497309,,4.599086758,6.517716535,10.42205127,2.94761384,6.4435773,2.337400546,,3.07667725,5.495650441,2.5,5.356027774,8.10812085,2.251697316,7.341117783,2.183139699,,1.66495233,4.222479621,4.703818832,2.71505808,5.528883756,,1.501855855,2.35931166,7.047399252,,1.58086056,7.355814933,20.0,4.396245309
3.166419867,1.8364158,5.396821234,,4.544444444,6.580645161,5.506079018,5.595230992,5.250244233,2.369066428,,3.725939683,3.271082484,2.5,4.913877057,9.1398495,2.229041699,7.890562867,2.216460988,,7.897250533,4.156145312,5.656220215,2.998442059,3.539615677,,3.5214174,2.847972993,9.16482455,,5.52967595,7.76625839,20.0,3.146844
2.65439465,1.686529433,5.008145158,,4.546570397,6.345620438,10.1280986,3.604044344,5.316966969,2.378084814,,3.312190526,7.213333283,2.5,4.821887222,5.394866963,2.209803508,7.1385685,2.209446607,,6.346050224,4.089811003,3.121629751,5.279173933,6.084221167,,3.147178296,2.995497917,4.11478439,,2.731367417,3.26039635,20.0,2.522979966
3.843649567,1.711855617,4.619469083,,4.448062016,6.477307692,4.638251383,7.703173967,5.5596422,2.417156968,,1.405906268,3.613126212,2.5,4.856954871,9.784864767,2.307029689,6.094427082,2.252609653,,6.63149465,4.023476694,12.7724616,1.717012902,3.602680221,,3.059095305,2.824514783,8.502611583,,3.371070717,1.824191679,20.0,5.907153517
3.0592379,2.0296073,4.230793008,,4.467965368,6.375390625,4.71804105,3.757739725,7.614836133,2.416496961,,2.281601436,5.077815474,2.5,4.810341309,5.149664707,1.795081202,4.905626331,2.241935148,,3.13140655,3.957142385,4.656543454,4.550884862,8.139343698,,2.535393237,1.84802,3.790862103,,3.179790211,5.790036783,20.0,5.468388433
1.877832417,1.762377833,3.842116933,,4.738016529,6.598312236,5.0625656,8.349650067,5.660927567,2.398168845,,2.099264974,5.119665878,2.5,4.535035105,8.877984767,1.736545722,7.6200206,2.224917466,,1.822871456,3.890808076,13.43384685,3.778799186,6.882131,,2.419223759,1.649119385,3.953317305,,1.336681123,1.847659927,20.0,1.771870513
3.1438979,2.327432317,3.453440857,,4.564,6.364143426,6.565711944,5.300617938,8.845730583,2.312862061,,4.87188135,6.532128167,2.5,4.510518645,5.931100717,1.934382732,5.619832979,2.155822721,,5.373740267,3.824473767,5.309307563,4.247423883,6.001859772,,2.651134377,3.605028183,4.228584383,,2.241050072,1.3084066,20.0,3.452862498
1.317530211,1.781573,2.482038367,,4.554850746,6.497154472,5.774822133,4.324442944,13.3219255,2.300854469,,3.699483938,6.087796583,2.5,4.043060801,5.072680428,1.780873079,10.65670605,2.173658541,,1.782339156,2.009818627,4.465197175,4.6042924,4.321572633,,2.366370683,2.849838136,5.233202643,,2.123433344,3.341296446,20.0,1.244301111
2.770947424,1.565543182,2.772876109,,4.633466135,6.680078125,5.5364136,7.183813683,6.50566855,2.329965732,,5.884609767,3.624053458,2.5,4.022727699,3.567214143,1.792745399,7.598820217,2.194205126,,1.6114392,2.260406414,12.1750774,4.848935831,7.770023717,,3.862040383,1.635527317,4.989246881,,4.392470883,3.356418255,20.0,2.405432783
3.738750559,1.9095565,7.341492867,,4.528217822,6.53800738,7.688713647,5.368321527,5.798103633,2.355360149,,2.901812083,4.325872113,2.5,4.583520786,7.026717007,1.784404564,7.142017772,2.214067325,,3.214145379,4.473409466,9.837861375,4.909579333,5.223465883,,2.148771817,2.393425625,4.789596683,,3.361062009,2.104838552,20.0,3.488524356
1.296157271,1.074702511,2.112201967,,4.45254902,6.574137931,1.057714993,5.317487967,7.867454633,2.331163448,,2.743769317,8.122302133,2.5,4.60827289,10.63086253,2.102117714,6.189938153,2.191076371,,3.212555458,1.844925466,4.82916805,4.092547833,4.738057847,,5.152258733,3.628243695,6.846060423,,5.33166075,2.788327509,20.0,1.200577965
3.771689809,2.29955175,1.995412881,,4.389528796,6.556521739,1.756893729,5.901833669,6.3984915,2.355626575,,4.7970913,6.456711576,2.5,4.16309783,10.35767848,1.943225702,10.60140147,2.215008182,,2.307576966,1.901549289,6.790248274,3.615880483,2.920728391,,9.023190267,3.26671215,1.489870825,,2.64412425,1.422164613,1.150294118,2.821048018
4.27731455,2.092350644,9.807752533,,4.453603604,6.677142857,2.456072465,6.871988345,9.87446125,2.3568131,,3.134653233,2.523661913,2.5,4.141146637,10.1534074,1.940743588,7.591049283,2.214474074,,3.058696509,5.959557857,9.682003,3.961852417,3.622660345,,2.812584327,2.735202383,2.088937133,,2.580768167,2.062645356,1.583125,3.577487136
1.445167867,1.940667017,2.793979335,,4.680701754,7.165873016,3.155251201,6.345636278,9.803377597,2.385867985,,3.4381907,5.25597502,2.5,4.289441043,7.0433743,2.010592461,6.907400867,2.19057928,,1.573392124,2.371663943,8.57153758,3.266576,3.252340172,,2.543889649,3.27548395,2.688003442,,4.404735833,2.634850291,1.375,2.094149945
2.859494449,1.850203741,2.271712456,,4.612182741,7.013513514,3.854429936,5.805178333,5.158960616,2.388860593,,3.462357967,7.122887796,2.5,4.285579178,9.7040876,1.97873014,3.611226183,2.200719547,,2.249060806,2.034714139,6.246080567,3.3424126,3.298421982,,4.041088917,5.327297817,3.28706975,,2.86776215,1.651784434,1.998181818,4.604543463
1.324296873,1.923529067,9.710660817,,4.41,6.710638298,4.553608672,7.48448815,10.19911062,2.421050401,,4.9473922,7.303085967,2.5,4.206512059,6.338798232,1.949848747,5.906530667,2.200839277,,2.510218632,5.2600621,13.44837595,4.991637617,4.006319276,,3.607053596,6.091765717,3.886136058,,3.042202383,4.770909283,1.170833333,1.276157814
3.01916515,1.745352793,9.990860685,,4.330232558,6.6628,5.252787408,8.232348,8.449146823,2.423562311,,3.017335373,6.621716883,2.5,4.613230249,5.565963852,2.020955579,5.272755617,2.220591227,,1.66027455,5.009896335,15.11432917,3.670135783,4.599054207,,5.469710867,3.8127328,4.485202367,,3.038508433,12.39431933,1.688181818,2.606400776
1.451875383,1.572784317,1.807078494,,4.250549451,6.768774704,5.951966144,7.994762633,6.9568156,2.383608004,,4.627247467,6.952991083,2.5,4.568634256,8.983720542,2.018333744,5.516245467,2.228155013,,4.851016867,2.036379848,16.2266625,2.704263747,3.598798034,,5.744978653,2.957313667,5.084268675,,4.156221367,7.127125426,2.073,2.14992095
2.59919963,1.380659361,2.502546042,,4.150980392,6.043243243,6.65114488,7.121501167,5.1244701,2.290044982,,5.723114317,10.49367303,2.5,4.717001756,7.588931222,1.979866779,5.854774298,2.156696695,,11.47991517,2.253024916,11.86958168,4.163900517,3.202322633,,3.426456692,2.95961755,5.683334983,,2.906425831,3.24039332,1.505,2.2537998
2.474327283,1.65729115,5.459097604,,4.266842105,6.54,6.51497705,7.839255717,6.281141948,2.346023815,,6.7168673,12.59630733,2.5,4.893835103,5.966338308,2.107370736,6.231786322,2.217862092,,6.559287167,3.500626195,11.79586633,2.138594571,3.800828133,,6.7102797,4.420807467,5.466526883,,3.938936483,2.008056295,1.660555556,3.0358177
2.398951456,1.527375533,5.023806966,,4.371428571,6.84556962,4.68100046,8.20064705,8.870603433,2.34671939,,8.73483665,8.073445783,2.5,4.794142885,6.97873214,2.082608477,5.904598917,2.209515503,,3.421328671,3.279938691,14.72580822,3.418719883,3.732546,,6.041995902,1.101557922,3.730976408,,5.150079533,8.199009933,1.827777778,1.928215297
2.618811237,1.622585683,2.713318574,,4.350574713,6.668811881,4.3628935,7.03311215,1.777914567,2.392233972,,2.842075733,6.538345035,2.5,4.259192797,7.454457441,2.094919534,5.4396806,2.235646771,,2.098233535,2.243199044,9.838170883,3.284622271,1.866746411,,3.540052207,2.374746717,3.587888318,,6.029479317,9.19332955,1.923529412,2.5435089
2.156806102,1.876034133,4.498124533,,4.340196078,6.718478261,5.655744936,7.128230467,6.093001883,2.364094364,,2.88737395,6.242734717,2.5,4.289826738,5.899018,2.117886886,5.919375583,2.216522318,,7.188159417,5.0113568,12.51469493,1.08857414,4.123311783,,2.6066587,2.729522633,5.113288034,,7.798938883,6.385634223,1.763,1.862175568
