HT_GB_SH_NA_DNA_VM_HO-7nvE0,HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE,HT_GB_SH_NA_DNA_VM_HO-uL9YZ,HT_GB_SH_NA_DNA_VM_HO-zbqiU,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,HT_GB_SH_NA_DNA_VM_HO-93Oix
10.5,2.80583333,2.418118803,12.7,5.484965041,4.902409639,5.432142857,3.542007437
11,2.766956537,2.404166663,12.6,4.997590369,3.992417062,4.914448669,3.520788529
13.30243902,2.733666682,2.412222223,12.6,5.455821914,4.495098039,5.453488372,3.491785718
12.1,2.857419345,2.442539679,12.5,5.300348466,4.261038961,5.2552,3.570714293
11.1,2.856749994,2.495726498,12.6,5.357638904,4.231221719,5.212267658,3.47571429
11.3,2.783846146,2.396796871,12.6,5.276124588,4.718859649,5.697026022,3.488461546
9.333333333,2.824705892,2.440387591,12.5,5.380000008,4.4692,5.562151394,3.540942037
12.86470588,2.984605281,2.504836598,12.4,5.80842105,4.584913793,5.727586207,3.552380956
11.89090909,2.950000011,2.494140128,12.6,5.856842108,4.338490566,5.320987654,3.577611944
11.13333333,2.890135117,2.488187489,12.6,5.95847751,4.469262295,5.349280576,3.50716846
10.4,2.925394726,2.530687506,12.5,6.018088749,4.29535865,4.809881423,3.888560888
10.3,3.193076912,2.507354849,12.6,5.608510646,4.612977099,4.848031496,4.580701765
10.3,3.242359555,2.506280499,12.4,5.369791673,7.36749226,6.277313433,4.541428571
11.15,3.217078643,2.477730055,12.6,5.065646275,5.378597786,5.376173285,4.268231024
12.42,3.23708075,2.483424655,12.6,4.888652501,4.59253112,5.332978723,3.559420293
10.4,3.236234572,2.483988092,12.6,4.872887333,4.706405694,5.394295302,3.35514706
12.4,3.421199994,2.462571435,12.5,4.943661995,4.375097276,4.90942029,3.372222222
10.4,3.471288656,2.446626507,13.1,5.781379317,4.318411552,4.855272727,3.25652174
10.5,3.454702956,2.451568633,13.2,5.206164403,4.445895522,5.070695971,3.735458168
12.58,3.360860218,2.361111116,13.2,5.424232084,5.012030075,4.727777778,3.512996392
10.6,3.380615386,2.391805563,13.2,5.382352943,4.61023622,4.404761905,3.54632353
10.5,3.365221681,2.402378055,13.3,5.893548407,7.071786834,6.245508982,3.80860216
10.5,3.363989074,5.424444468,13.4,5.633448277,4.529513889,5.173571429,3.585815609
10.5,3.353065329,2.885744687,13.3,6.178275842,5.431672598,5.087017544,3.780000004
10.6,3.366190482,2.564148949,13.4,6.617708337,6.883636364,5.96,3.615384622
10.6,3.410145624,2.523099428,13.1,5.723571433,6.872222222,5.935670732,3.523297496
12.79545455,3.388547483,2.530467848,13.3,5.751760578,7.070532915,6.162804878,3.691197193
12.78,3.380758298,2.496363642,13.2,5.635540088,7.129754601,6.134319527,3.761594214
12.62222222,3.380154634,2.490853661,13.2,5.410616457,4.332971014,4.757651246,3.720714296
10.4,3.382473111,2.536850844,13.3,5.995847747,4.645263158,5.083108108,3.543508773
10.5,3.386628568,6.907802211,13.2,6.324482758,5.986054422,5.21043771,3.387857148
10.5,6.364950512,4.922999954,13.3,6.149650344,4.337857143,4.701337793,3.700000011
10.5,3.856478891,7.784693903,13.2,5.61153846,4.355513308,4.73202847,3.677372275
10.5,3.469954543,6.697490364,13.2,5.196219936,4.46227758,4.827915194,3.630824375
10.7,3.453445367,6.593478278,13.2,5.309342577,4.424163569,4.759044369,3.018981467
10.5,3.458349051,4.763333321,13.1,5.996864113,4.405078125,4.744482759,2.153773569
10.5,3.43424107,6.822076935,13.3,5.88762886,4.382105263,4.66779661,2.008612411
10.3,3.42622641,6.656782962,13.2,6.088627471,6.72681388,6.156707317,3.845220593
10.3,3.436791655,6.62100776,13.2,5.169708036,4.346453901,4.63877551,3.565357153
10.4,2.270000011,6.855572509,13.3,4.825188006,4.421090909,4.656333333,3.633922264
10.4,7.896009389,6.831570883,13.3,5.713745704,4.581632653,4.847194719,2.671171162
10.4,5.055999947,6.860344828,13.2,4.800000018,4.411196911,4.286872587,2.913207541
10.3,7.540555521,6.778511459,13.3,4.625448046,6.913069909,5.979878049,2.019555525
10.3,6.795799967,4.658749998,13.4,5.942906578,5.694444444,6.071428571,2.401843307
12.88421053,7.027941149,6.492109386,13.4,5.703780074,4.891532258,5.543143813,2.5195767
12.8,4.797777706,4.646666686,13.3,5.79456523,7.197575758,6.772727273,2.531606216
12.84814815,6.859285673,6.528663983,13.3,5.904562733,7.364590164,7.134117647,2.355851064
11.7625,6.836546161,4.563333352,13.2,4.760000038,7.21884984,7.034638554,2.062445384
12.776,6.862655568,4.610000134,13.2,4.907865201,7.012903226,6.666463415,2.108407033
12.95652174,6.997732761,4.599999905,13.1,4.753928592,6.90192926,6.483035714,2.366315785
12.82,7.06186233,4.637500048,13.4,5.049814144,6.785759494,6.198214286,2.062780232
12.1,7.043255793,4.599999905,15.22216495,5.639560451,6.85015873,6.180060423,2.076960762
12.79761905,6.786857124,6.532334638,14.76132597,4.847445284,6.850157729,6.113230769,3.715547706
12.65217391,4.839999994,4.565000176,14.63297872,5.50369006,7.184768212,6.810385757,4.59452555
12.74090909,6.529016381,4.515000105,14.65176471,5.900000007,6.84625,6.402095808,4.330223873
12.55,4.801250041,4.550000191,14.59526316,5.551923086,6.576190476,5.798795181,3.832234446
12.39354839,6.670240937,4.53000021,13.9,5.04204547,6.619365079,5.781388013,3.601052638
12.23333333,4.809999943,4.570000172,13.7,4.953639862,6.75576324,5.996130952,3.700361021
12.72258065,4.829999924,4.559999943,13.6,5.535447747,6.863311688,6.151038576,3.766187051
12.70740741,4.839999948,4.550000095,13.6,4.98941178,7.010091743,6.359567901,3.697560978
12.71538462,4.813999987,4.540000081,13.6,4.687450998,6.960457516,6.333333333,3.752898557
12.64074074,4.819444418,4.600000064,13.6,5.191011254,6.81461039,6.387349398,3.810780671
12.38947368,6.739685025,4.619999886,13.6,4.648518532,6.456918239,5.636936937,6.506140335
12.3,4.745000124,4.619999886,13.6,4.904074098,6.321543408,5.474774775,5.812227089
12.53125,4.788888878,11.64677423,13.8,5.311857717,6.601851852,5.918429003,5.651724151
12.825,4.781666676,5.320000172,13.6,6.16894197,6.799680511,6.148816568,5.469869008
10,4.780833403,4.659999847,13.7,5.366549299,7.050645161,6.644409938,5.246698128
10.1,4.763333321,6.731967863,13.7,5.239372833,6.972435897,6.445201238,6.788311673
10.1,4.773636341,4.590000153,13.5,5.682698961,7.050326797,6.529429429,5.857894736
10.2,4.785000086,4.599999905,13.6,6.303124992,7.004761905,6.702083333,4.284444473
10.2,4.730000019,4.599999905,13.7,6.500348422,7.199378882,7.173590504,4.596874942
12.6,4.732499957,4.590000153,13.7,6.74221451,7.215286624,7.20960961,4.948245634
10.3,4.774666627,4.4599998,13.9,6.744636669,7.265483871,7.294378698,4.68678414
