HT5705_HT_NA_NA_NA_DNA_VM_HO-4o9bX,HT5705_HT_NA_NA_NA_DNA_VM_HO-c2rB2,HT6617_HT_NA_NA_NA_DNA_VM_HO-185Vh,HT6617_HT_NA_NA_NA_DNA_VM_HO-IAZ32,HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE
10.25526318,11.76666673,9.199999809,12.11000013,3.054999948,2.670624986
10.89999988,11.74210523,9.199999809,12.60000038,3.019999981,2.648333311
10.74444442,11.94848465,9.199999809,12.60000038,3.160000086,2.600000064
10.91607133,11.93333308,9.199999809,12.60000038,3.099999905,2.660000086
11.03693708,11.89999962,9.199999809,12.60000038,3.099999905,2.608571393
11.30000019,11.89999962,9.199999809,12.60000038,3.140000105,2.605000019
11.30000019,11.89999962,9.199999809,12.60000038,3.099999905,2.549999952
11.30000019,11.89999962,9.199999809,12.60000038,3.130000114,2.577142869
11.30000019,11.89999962,9.199999809,12.60000038,5.838823532,4.110632915
11.30000019,11.89999962,9.199999809,12.60000038,3.210000038,2.574285712
11.30000019,11.89999962,9.199999809,12.60000038,3.079999924,2.502499998
11.30000019,11.89999962,9.199999809,12.60000038,3.110000014,2.482500017
11.30000019,11.89999962,9.199999809,12.60000038,5.558095203,4.246575342
11.30000019,11.89999962,9.199999809,12.60000038,3.099999905,2.607222239
11.30000019,11.89999962,9.199999809,12.60000038,3.079999924,2.529999971
11.30000019,11.89999962,9.199999809,12.60000038,3.130000114,2.490000069
11.30000019,11.89999962,9.199999809,12.60000038,2.960000038,2.49000001
11.30000019,11.89999962,9.199999809,12.60000038,3.210000038,2.589999914
11.30000019,11.89999962,9.199999809,12.60000038,5.528073385,4.281593628
11.30000019,11.89999962,9.199999809,12.60000038,3.150000016,2.555999994
11.30000019,11.89999962,9.199999809,12.60000038,3.039999962,2.435000022
11.30000019,11.89999962,9.199999809,12.60000038,3.099999905,2.536428554
11.30000019,11.89999962,9.199999809,12.60000038,3.170000076,2.49000001
11.30000019,11.89999962,9.199999809,12.60000038,3.25999999,2.492000008
11.30000019,11.89999962,9.199999809,12.60000038,3.089999914,2.583333333
11.30000019,11.89999962,9.199999809,12.60000038,3.099999905,2.569999933
11.30000019,11.89999962,9.199999809,12.60000038,3.089999914,2.50333333
11.30000019,11.89999962,9.199999809,12.60000038,3.079999924,2.622500002
11.30000019,11.89999962,9.199999809,12.60000038,3.130000114,2.589999994
11.30000019,11.89999962,9.199999809,12.60000038,5.733591843,4.543264451
11.30000019,11.89999962,9.199999809,12.60000038,5.70192053,4.32524138
11.30000019,11.89999962,9.199999809,12.60000038,5.632825129,4.265588239
11.30000019,11.89999962,9.199999809,12.60000038,3.170000076,2.517499983
11.30000019,11.89999962,9.199999809,12.60000038,3.130000114,2.569999933
11.30000019,11.89999962,9.199999809,12.60000038,3.140000105,2.680000067
11.30000019,11.89999962,9.199999809,12.60000038,3.130000114,2.685000062
11.30000019,11.89999962,9.199999809,12.60000038,5.657058817,4.222307722
11.30000019,11.89999962,9.199999809,12.60000038,3.004999995,2.480000019
11.30000019,11.89999962,9.199999809,12.60000038,2.960000038,2.508333365
11.30000019,11.89999962,9.199999809,12.60000038,2.965000033,2.463333368
