Powerhouse/Unit:,LO-39,JC-99,LO-93,LO-64,QW-13,LO-71,LO-72,LO-28,LO-84,TT-63,TT-67,QW-54,LI-67,JC-52,QW-91,LO-44,HJ-80,QW-92,JC-43,QW-56,QW-15,QW-94,QW-82,LO-59,QW-97,ZR-71,LO-91,QW-05,LO-21,QW-10,QW-76,HJ-30
2015-11-20 00:00:00+00:00,-0.200000003,14.75163464,86.89070531,55.986994,0.0,74.31328576,130.2303872,47.83470113,85.96453668,30.91924832,0.0,0.0,41.1913287,-0.000732455,0.0,84.94847336,410.714569,0.0,15.19722842,0.0,0.0,0.0,0.0,-0.100000001,0.0,5797.929757000001,124.5103252,0.0,81.26976786,0.0,0.0,0.0
2015-11-21 00:00:00+00:00,-0.200000003,17.15463326,78.1527123,47.20104947,0.0,72.97996304,130.7013006,73.28110365,79.51661216,27.78437285,0.0,0.0,8.253817441,-0.000732455,0.0,78.27243514,451.2526676,0.0,17.47068381,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.721267673,125.6314162,0.0,78.19640562,0.0,0.0,0.0
2015-11-22 00:00:00+00:00,-0.200000003,17.24530643,70.87462181,46.53153853,0.0,68.44335535,131.8102738,69.92499486,71.96494735,26.67661761,0.0,0.0,17.37519662,-0.000732455,0.0,71.90043065,40.19537376,0.0,17.52566364,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.603670991,125.085923,0.0,71.02496444,0.0,0.0,0.0
2015-11-23 00:00:00+00:00,-0.200000003,17.3673809,70.94219202,43.9479084,0.0,67.64416727,130.9154542,58.27666642,74.94598216,27.01026177,0.0,0.0,14.25961252,-0.000732455,0.0,71.66133805,106.5141392,0.0,16.09048756,0.0,0.0,0.0,0.0,-0.100000001,0.0,535.0899747999999,124.711738,0.0,67.5558366,0.0,0.0,0.0
2015-11-24 00:00:00+00:00,-0.200000003,16.79570873,93.45818417,61.57804134,0.0,86.02630979,131.3286865,79.99612256,88.8841036,27.35244784,0.0,0.0,21.60935105,-0.000732455,0.0,81.9814847,103.2283069,0.0,17.58297332,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.848970137,124.0026307,0.0,89.43394354,0.0,0.0,0.0
2015-11-25 00:00:00+00:00,-0.200000003,16.73377217,68.03703432,44.56164963,0.0,63.5189079,131.3472983,68.3147294,70.31272492,24.23572978,0.0,0.0,17.54312195,-0.000732455,0.0,70.63419293,5.298290766,0.0,16.54162368,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.83345804,125.053683,0.0,68.70436528,0.0,0.0,0.0
2015-11-26 00:00:00+00:00,-0.200000003,16.53227772,85.71471321,53.27776831,0.0,79.22002261,130.7612877,77.57732079,85.28520405,25.11109505,0.0,0.0,6.768192433,-0.000732455,0.0,83.8285997,6.573949144,0.0,17.99460143,0.0,0.0,0.0,0.0,-0.133333335,0.0,9.706752959,124.8403378,0.0,84.05639361,0.0,0.0,0.0
2015-11-27 00:00:00+00:00,-0.200000003,18.0015763,69.63995938,44.67244978,0.0,67.80012827,130.608579,68.20086697,73.21812157,18.32167587,0.0,0.0,13.33990436,-0.000732455,0.0,70.73575533,4.929713574,0.0,17.99988784,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.582725272,125.6492421,0.0,70.38680038,0.0,0.0,0.0
2015-11-28 00:00:00+00:00,-0.200000003,17.86199902,71.33405019,45.39155496,0.0,68.76980762,132.0093892,68.98058499,74.32945951,20.54339557,0.0,0.0,15.16210106,-0.000732455,0.0,72.32372569,-1.111688574,0.0,18.00309244,0.0,0.0,0.0,0.0,-0.100000001,0.0,7633.65494,124.9902997,0.0,71.94240537,0.0,0.0,0.0
2015-11-29 00:00:00+00:00,-0.200000003,15.80993518,73.52810844,41.29829254,0.0,64.38791432,132.2373348,69.2154012,74.98582256,19.674249,0.0,0.0,6.365238982,-0.000732455,0.0,71.9765996,-1.111680482,0.0,17.99685723,0.0,0.0,0.0,0.0,-0.100000001,0.0,10370.89024,0.0,0.0,72.68267951,0.0,0.0,0.0
