HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE,HT_GB_SH_NA_DNA_VM_HO-zbqiU,HT_GB_SH_NA_DNA_VM_HO-93Oix,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr
2.925000072,2.413157915,5.380000008,3.570714293,4.4692,5.562151394
2.80583333,2.442405061,5.065646275,3.888560888,7.36749226,6.277313433
2.950000011,2.44051021,5.382352943,3.25652174,5.012030075,4.727777778
3.242359555,2.442539679,5.635540088,3.615384622,7.070532915,6.162804878
3.360860218,2.530687506,5.309342577,3.700000011,4.46227758,4.827915194
3.388547483,2.446626507,4.800000018,1.962612592,4.581632653,4.847194719
3.469954543,2.564148949,4.907865201,1.890232533,6.90192926,6.483035714
7.896009389,6.907802211,5.551923086,2.355851064,6.619365079,5.781388013
6.836546161,6.656782962,4.648518532,1.792760182,6.321543408,5.474774775
6.529016381,6.492109386,6.303124992,3.601052638,7.199378882,7.173590504
4.819444418,4.599999905,9.212946406,6.788311673,7.240062112,7.040243902
4.773636341,4.559999943,6.264529888,4.407758616,7.513580247,7.138416422
5.769999981,5.320000172,5.880000001,4.392274692,6.856610169,6.720063694
4.571428571,4.4599998,5.318421067,4.22422907,7.48757764,7.1771261
7.233539805,6.774044955,6.987224669,6.11484716,7.958412698,7.600911854
4.96999979,4.71999979,8.570869599,6.76059322,7.555414013,7.147005988
7.511863665,6.59237866,10.06753246,8.806329126,8.226498423,7.88253012
9.583571366,8.394000053,10.94177217,8.83025208,5.468441065,5.790566038
5.079999924,4.820000172,12.79662446,9.605020922,8.180448718,7.709580838
4.96999979,4.739999771,5.959090948,4.324359096,8.173267327,7.646646341
4.889999866,4.690000057,6.444642904,4.403030367,7.7,7.6
4.800000191,4.53000021,7.868995683,6.473191468,7.891304348,7.509848485
4.659999847,4.400000095,1.931390124,2.898297855,7.992822967,7.359322034
4.679999828,4.510000229,7.56414142,5.416216223,8.18685446,7.325
4.610000134,4.510000229,8.034615521,4.899069786,8.296153846,6.734509804
6.956528892,6.310381695,9.688000043,8.656595752,5.080487805,5.488
5.139999866,4.909999847,8.565765845,6.651072933,4.890909091,5.515384615
5.059999943,4.760000229,8.498701341,6.236403511,5.149593496,6.002272727
4.889999866,4.71999979,11.6264069,9.819491475,5.078346457,5.709689922
6.732983841,5.877644784,11.63722939,9.97573223,4.933067729,6.048698885
4.659999847,4.610000134,11.04978725,9.685470059,4.958333333,6.787068966
4.699999809,4.53000021,11.64152539,8.875105461,5.261623616,7.084090909
4.769999981,4.559999943,13.27167383,10.06468086,7.697359736,8.250909091
4.820000172,4.53000021,15.09342103,14.82136754,7.572727273,5.42674772
4.730000019,4.53000021,7.983410244,5.091111141,5.111578947,5.996949153
4.699999809,4.46999979,6.441150427,3.44273128,8.260124611,8.018181818
4.820000172,4.489999771,5.718695659,4.288157902,7.775641026,7.379566563
4.802000046,4.480000019,6.869999981,5.805603455,7.880188679,7.127329193
7.234999968,6.172072076,8.465486759,7.939224216,8.413880126,8.060869565
4.845000029,4.690000057,8.352606678,8.22162164,8.141275168,8.240255591
4.679999987,4.352051283,10.25486729,9.800446432,4.926785714,6.3
4.549473737,4.407500022,11.32719297,11.08491379,5.089811321,7.014736842
6.86634237,5.430448958,12.5328947,11.51120687,4.874169742,7.183516484
6.963320588,5.580409841,12.84502164,10.86765958,4.851388889,7.362056738
6.317130813,4.867264943,13.58253279,12.02068963,2.532124352,5.50625
7.815140619,7.818609014,12.28846155,11.40792953,2.475,5.069194313
7.47506123,7.337764686,5.450243938,3.167664662,1.048571429,4.059701493
5.904878064,4.713857659,4.678139549,2.680180178,1.040540541,3.932954545
5.981541526,5.497928289,4.108071733,3.402631581,1.365217391,4.899293286
6.127261921,5.908901991,4.209482751,3.879203542,1.74664311,5.053874539
6.029411795,6.47364376,4.478947364,4.298206271,1.706639004,4.967279412
6.264077691,6.076848739,5.934334769,4.807489011,1.649065421,4.776951673
5.861887742,5.319857832,5.691379309,5.293859653,1.381603774,4.68490566
6.028178324,7.336770427,5.95307018,5.971615718,1.431718062,4.649438202
5.952758632,6.682404582,7.122641503,5.374000001,2.13890785,4.96039604
6.188134943,6.811270481,7.537179495,7.590000036,1.715769231,4.82388664
6.242341301,6.420901987,1.200000048,6.943478244,1.719123506,4.884132841
7.58649449,9.381050548,6.890434769,6.870742331,1.925614035,4.613405797
7.162927738,8.173398456,7.153448259,7.095391715,1.88137931,4.664505119
7.924176284,9.46544395,8.273853245,7.115837076,2.061279461,4.709191176
7.28119403,8.612661623,8.740092185,8.435443063,2.007291667,4.680985915
7.387047972,9.434212538,8.252789765,7.119298232,2.003202847,3.662992126
5.554428562,5.908648665,7.140343355,8.760085822,2.459271523,3.820547945
6.251626993,7.029849621,8.49090912,7.473160166,2.854411765,4.376829268
7.111235499,8.068127507,9.866363599,8.384684741,2.608385093,4.461818182
7.468015578,9.015378437,10.54205609,11.50253161,2.343113772,4.353374233
7.522527897,9.225351537,12.4012766,3.709174322,2.666366366,3.848961424
6.67484998,7.753838346,5.927411222,4.705000023,2.553333333,3.783685801
7.415584922,9.683726888,6.48942308,5.241346153,3.556229514,2.01608092
5.704539012,6.561538476,6.825149687,6.120982138,3.045688293,1.559679826
5.89725356,6.933636365,7.083720899,7.103862643,3.771056661,1.459824651
5.986441779,6.983502824,7.59298243,5.7904348,3.869190647,1.619747124
12.3811388,12.73951015,8.374883785,6.567129625,4.481337496,1.753677094
5.426444403,6.036190513,6.74065421,6.836036003,3.336866726,1.592305784
8.400283078,8.818085119,6.776666655,7.004661029,4.135177986,1.516449778
10.74210332,11.84354588,10.380531,3.160791364,3.832419468,1.503883083
10.9074684,12.0047964,5.637275995,4.854625585,4.142904878,1.718965713
7.405604389,8.4304115,5.866094421,6.747391286,4.414379256,1.864711823
9.075594435,10.05156459,6.312393156,7.599999905,4.434014284,1.785824244
7.814819347,10.10334609,7.199999809,7.599999905,4.63667291,2.116760625
14.24085816,15.36196162,7.199999809,7.599999905,4.524692914,1.851917358
11.66631394,12.25031495,7.199999809,7.599999905,4.523182189,1.886286259
11.29086619,12.0853138,7.199999809,7.599999905,4.374939406,1.92077563
8.583402479,7.162799971,7.199999809,10.70714278,4.671515589,2.194073508
8.246765985,5.772307698,10.37857127,5.103729511,4.608192067,2.102117714
8.46834009,4.861102015,7.004699302,5.441406306,4.568634256,2.018333744
